filename,title,photographer,credit_line,year,location,allowed_use,level,notes
mirrou-keyvisual-monogram-mr-dark-01.jpg,Mirrou Monogram (MR) on Deep Ground,Olha Yevtushenko,© Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Logo asset — no modification
mirrou-keyvisual-monogram-mr-diptych-02.jpg,Mirrou Monogram Diptych,Olha Yevtushenko,© Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Logo asset — no modification
mirrou-keyvisual-monogram-mr-header-bar-03.jpg,Mirrou Monogram Header Bar,Olha Yevtushenko,© Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Logo asset — no modification
mirrou-keyvisual-gold-diagonal-grid-04.jpg,Signature Light — Gold Diagonal,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Signature lighting study
mirrou-keyvisual-gold-horizon-rule-05.jpg,Gold Horizon Rule,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-keyvisual-eclipse-ring-06.jpg,Eclipse Ring on Grid,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-keyvisual-architectural-footer-07.jpg,Architectural Footer with Gold Rule,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,Background asset
mirrou-keyvisual-9square-vocabulary-08.jpg,Mirrou Visual Vocabulary (9-Square),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Brand-system explainer
mirrou-keyvisual-bottle-grid-mockup-09.jpg,Bottle Grid Mockup with Gold Bar,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-keyvisual-material-swatches-10.jpg,Mirrou Brand Material Swatches,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Black/Ivory/Gold/Grey
mirrou-keyvisual-3-objects-pedestal-11.jpg,Three Objects on Pedestal,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Brass/Glass/Metal trio
mirrou-keyvisual-isometric-cube-12.jpg,Isometric Cube Wireframe,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,System diagram
mirrou-keyvisual-mirrou-lens-macro-13.jpg,Mirrou Lens Macro (50mm 1.4),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Branded lens — Mirrou-marked
luminous-aura-hero-trio-marble-01.jpg,Luminous Aura — Hero Trio on Black Marble,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
luminous-aura-solo-radiancy-marble-02.jpg,Luminous Aura — Radiancy Serum Solo,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
luminous-aura-solo-mirrou-branded-03.jpg,Luminous Aura — Mirrou Branded Solo,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
luminous-aura-solo-luxury-50ml-smoke-04.jpg,Luminous Aura — Luxury Serum 50ml in Smoke,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
luminous-aura-floating-gold-particles-05.jpg,Luminous Aura — Floating Bottle in Particles,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
luminous-aura-geometric-spiral-06.jpg,Luminous Aura — Geometric Spiral Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
luminous-aura-gold-bottle-marble-07.jpg,Luminous Aura — Gold Bottle on Marble,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-case-hero-01.jpg,Vitality Pulse — Case Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
vitality-pulse-energy-serum-final-02.jpg,Vitality Pulse — Energy Serum Final System Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
vitality-pulse-doppel-splash-03.jpg,Vitality Pulse — Synergy + Cellular Renewal Splash,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
vitality-pulse-solo-gold-edge-04.jpg,Vitality Pulse — Solo with Gold Edge Light,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-water-drops-macro-05.jpg,Vitality Pulse — Macro with Water Drops,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-forest-daily-pulse-06.jpg,Vitality Pulse — The Daily Pulse (Forest),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
vitality-pulse-adaptogen-flatlay-07.jpg,Vitality Pulse — Adaptogen Flatlay,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
essence-drift-final-system-hero-01.jpg,Essence Drift — Final System Hero,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
essence-drift-solo-smoke-clear-02.jpg,Essence Drift — Clear Bottle in Smoke,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
essence-drift-doppel-illusion-mystery-03.jpg,Essence Drift — Illusion + Mystery Pair,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
essence-drift-ghostly-vertical-04.jpg,Essence Drift — Ghostly Vertical,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
essence-drift-vintage-hand-smoke-05.jpg,Essence Drift — Vintage Hand Hold,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case; hand model release on file
neural-glow-system-hero-n4-01.jpg,Neural Glow — System Hero N°4,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
neural-glow-adaptive-circuit-02.jpg,Neural Glow — Adaptive Circuit,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Mirrou conceptual case
neural-glow-network-web-03.jpg,Neural Glow — Network Web Abstraction,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Mirrou conceptual case
mirrou-studio-hamburg-hq-workspace-01.jpg,Mirrou Hamburg HQ — Workspace,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Property release on file
mirrou-studio-hamburg-exterior-02.jpg,Mirrou Hamburg HQ — Exterior at Dusk,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Property release pending
mirrou-studio-berlin-exterior-03.jpg,Mirrou Berlin Studio — Exterior at Night,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Berlin,Editorial press use with credit,B,Property release pending
mirrou-studio-process-editorial-layout-04.jpg,Mirrou Process — Editorial Layout Review,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-studio-process-blueprint-pencil-05.jpg,Mirrou Process — Governance Blueprint,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-studio-process-hands-print-06.jpg,Mirrou Process — Hands Holding Print,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Hand model release on file
mirrou-studio-spotlight-pedestal-07.jpg,Mirrou Studio — Spotlight Study,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-studio-founder-leica-08.jpg,Olha Yevtushenko — At the Camera,Olha Yevtushenko (self-portrait via assistant),Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,A,Founder portrait — model release on file
mirrou-abstract-performance-curve-01.jpg,Performance Curve Study,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-abstract-gold-light-waves-02.jpg,Gold Light Waves,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-particle-cluster-03.jpg,Particle Cluster on Grid,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-circuit-brushstrokes-04.jpg,Circuit Brushstrokes,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-gold-wave-grid-05.jpg,Gold Wave into Digital Grid,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-concentric-rings-06.jpg,Concentric Gold Rings,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-marble-ripple-07.jpg,Concentric Marble Ripple,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-gold-pour-vial-08.jpg,Gold Pour into Vial,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-abstract-gold-crown-splash-09.jpg,Gold Crown Splash,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,
mirrou-abstract-3-vertical-panels-10.jpg,Three-Panel Brand Triptych,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-tech-macro-brushed-11.jpg,Brushed Metal Tech Macro,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-citrus-section-12.jpg,Backlit Citrus Section,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,C,
mirrou-abstract-gold-drop-skin-13.jpg,Gold Drop on Skin,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Skin model release on file
mirrou-abstract-glitter-skin-14.jpg,Glitter on Skin Macro,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Skin model release on file
mirrou-abstract-arm-swatch-15.jpg,Arm Swatch Study,Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit,B,Skin model release on file
editorial-concept-aether-01.jpg,Editorial Concept — Aether (concept frame),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit; concept-only,C,Editorial concept frame — not a real product or third-party brand
editorial-concept-neuroflow-01.jpg,Editorial Concept — Neuroflow (concept frame),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit; concept-only,C,Editorial concept frame — not a real product or third-party brand
editorial-concept-mininium-01.jpg,Editorial Concept — Mininium (concept frame),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit; concept-only,C,Editorial concept frame — not a real product or third-party brand
editorial-concept-forest-bottle-01.jpg,Editorial Concept — Forest Bottle (concept frame),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit; concept-only,C,Editorial concept frame — not a real product or third-party brand
editorial-concept-green-energy-01.jpg,Editorial Concept — Green Energy (concept frame),Olha Yevtushenko,Photo: Olha Yevtushenko / Mirrou Creative Studio,2026,Hamburg,Editorial press use with credit; concept-only,C,Editorial concept frame — not a real product or third-party brand
